ID,Data,Categoria,Meio_Contato,Tempo_Resposta (dias),Status
RC0401,2024-01-01,Garantia,E-mail,13.0,Em andamento
RC0402,2024-02-19,Garantia,E-mail,10.0,Não resolvida
RC0403,2024-03-05,Produto com Defeito,Telefone,28.0,Não resolvida
RC0404,2024-01-14,Garantia,Redes Sociais,10.0,Resolvida
RC0405,2024-02-03,Produto com Defeito,Chat,1.0,Não resolvida
RC0406,2024-03-23,Atendimento,Chat,4.0,Em andamento
RC0407,2024-01-04,Garantia,Redes Sociais,18.0,Resolvida
RC0408,2024-01-28,Atendimento,Telefone,7.0,Não resolvida
RC0409,2024-03-03,Produto com Defeito,Chat,10.0,Em andamento
RC0410,2024-03-10,Entrega,E-mail,13.0,Não resolvida
RC0411,2024-01-14,Cobrança Indevida,Redes Sociais,4.0,Resolvida
RC0412,2024-01-07,Produto com Defeito,Telefone,26.0,Não resolvida
RC0413,2024-03-15,Entrega,Chat,13.0,Em andamento
RC0414,2024-01-24,Atendimento,Chat,20.0,Resolvida
RC0415,2024-01-13,Entrega,Telefone,19.0,Resolvida
RC0416,2024-03-06,Cobrança Indevida,Redes Sociais,10.0,Resolvida
RC0417,2024-01-12,Cobrança Indevida,Redes Sociais,21.0,Resolvida
RC0418,2024-03-25,Cobrança Indevida,Redes Sociais,3.0,Resolvida
RC0419,2024-02-27,Produto com Defeito,E-mail,21.0,Resolvida
RC0420,2024-01-10,Entrega,Chat,23.0,Não resolvida
RC0421,2024-02-16,Entrega,Chat,24.0,Resolvida
RC0422,2024-03-26,Produto com Defeito,Telefone,13.0,Em andamento
RC0423,2024-01-01,Garantia,Redes Sociais,16.0,Não resolvida
RC0424,2024-03-09,Atendimento,Redes Sociais,26.0,Resolvida
RC0425,2024-03-23,Cobrança Indevida,Telefone,4.0,Não resolvida
RC0426,2024-03-09,Produto com Defeito,Redes Sociais,16.0,Não resolvida
RC0427,2024-03-19,Atendimento,E-mail,21.0,Resolvida
RC0428,2024-03-30,Entrega,Chat,28.0,Em andamento
RC0429,2024-01-14,Atendimento,Telefone,17.0,Em andamento
RC0430,2024-01-02,Cobrança Indevida,E-mail,17.0,Não resolvida
RC0431,2024-01-13,Cobrança Indevida,Chat,1.0,Em andamento
RC0432,2024-01-28,Entrega,Redes Sociais,14.0,Não resolvida
RC0433,2024-01-14,Atendimento,Redes Sociais,20.0,Resolvida
RC0434,2024-03-31,Atendimento,Chat,11.0,Em andamento
RC0435,2024-03-19,Produto com Defeito,E-mail,26.0,Não resolvida
RC0436,2024-02-19,Produto com Defeito,Telefone,13.0,Resolvida
RC0437,2024-01-01,Cobrança Indevida,Chat,12.0,Resolvida
RC0438,2024-01-03,Entrega,Telefone,11.0,Em andamento
RC0439,2024-01-12,Garantia,Telefone,12.0,Em andamento
RC0440,2024-02-07,Produto com Defeito,Redes Sociais,11.0,Em andamento
RC0441,2024-01-21,Produto com Defeito,Telefone,9.0,Não resolvida
RC0442,2024-03-26,Entrega,E-mail,28.0,Resolvida
RC0443,2024-03-01,Garantia,Chat,21.0,Resolvida
RC0444,2024-02-21,Cobrança Indevida,Redes Sociais,2.0,Resolvida
RC0445,2024-01-22,Garantia,Telefone,1.0,Em andamento
RC0446,2024-02-21,Garantia,Telefone,30.0,Não resolvida
RC0447,2024-02-09,Entrega,E-mail,21.0,Resolvida
RC0448,2024-01-15,Atendimento,Telefone,15.0,Resolvida
RC0449,2024-01-08,Entrega,E-mail,15.0,Em andamento
RC0450,2024-01-06,Garantia,Telefone,7.0,Resolvida
