ID,Data,Tipo,Bairro,Status,Envolvidos
OC0426,2024-01-24,Violência Doméstica,Alvorada,Encerrado,1
OC0427,2024-03-31,Roubo,Jardim das Flores,Encerrado,5
OC0428,2024-01-31,Violência Doméstica,Industrial,Encerrado,3
OC0429,2024-01-08,Violência Doméstica,Alvorada,Em investigação,1
OC0430,2024-01-27,Homicídio,Alvorada,Sem solução,5
OC0431,2024-02-28,Furto,Centro,Sem solução,4
OC0432,2024-01-08,Roubo,São Jorge,Em investigação,2
OC0433,2024-02-12,Homicídio,Centro,Encerrado,3
OC0434,2024-03-17,Agressão,Alvorada,Em investigação,2
OC0435,2024-03-01,Furto,Parque Verde,Encerrado,3
OC0436,2024-02-19,Homicídio,Jardim das Flores,Sem solução,5
OC0437,2024-02-08,Furto,Alvorada,Em investigação,4
OC0438,2024-03-07,Furto,Vila Nova,Encerrado,1
OC0439,2024-02-16,Homicídio,Parque Verde,Encerrado,5
OC0440,2024-02-03,Violência Doméstica,Vila Nova,Em investigação,3
OC0441,2024-02-16,Violência Doméstica,Alvorada,Encerrado,3
OC0442,2024-01-18,Homicídio,Vila Nova,Em investigação,5
OC0443,2024-01-02,Agressão,Parque Verde,Encerrado,4
OC0444,2024-02-16,Roubo,Centro,Sem solução,3
OC0445,2024-01-21,Tráfico de Drogas,Industrial,Encerrado,5
OC0446,2024-03-27,Homicídio,Industrial,Sem solução,2
OC0447,2024-01-25,Agressão,Industrial,Sem solução,5
OC0448,2024-03-16,Homicídio,Industrial,Encerrado,1
OC0449,2024-03-28,Tráfico de Drogas,Parque Verde,Em investigação,2
OC0450,2024-01-30,Furto,Industrial,Sem solução,3
OC0451,2024-02-11,Roubo,Parque Verde,Em investigação,1
OC0452,2024-02-28,Roubo,Industrial,Sem solução,1
OC0453,2024-01-16,Homicídio,Parque Verde,Sem solução,3
OC0454,2024-03-18,Tráfico de Drogas,São Jorge,Sem solução,4
OC0455,2024-03-21,Roubo,Alvorada,Encerrado,4
OC0456,2024-01-06,Homicídio,Vila Nova,Encerrado,5
OC0457,2024-01-13,Furto,Jardim das Flores,Encerrado,1
OC0458,2024-03-23,Roubo,Industrial,Sem solução,4
OC0459,2024-03-20,Tráfico de Drogas,São Jorge,Encerrado,3
OC0460,2024-03-23,Homicídio,Centro,Encerrado,3
OC0461,2024-01-01,Roubo,Jardim das Flores,Encerrado,5
OC0462,2024-02-18,Homicídio,Vila Nova,Sem solução,1
OC0463,2024-01-04,Homicídio,Jardim das Flores,Em investigação,5
OC0464,2024-02-22,Furto,Vila Nova,Sem solução,4
OC0465,2024-01-22,Roubo,São Jorge,Sem solução,2
OC0466,2024-02-18,Tráfico de Drogas,Vila Nova,Em investigação,1
OC0467,2024-03-15,Agressão,Alvorada,Em investigação,4
OC0468,2024-02-02,Furto,Centro,Em investigação,2
OC0469,2024-02-21,Violência Doméstica,Jardim das Flores,Sem solução,2
OC0470,2024-01-19,Violência Doméstica,Parque Verde,Em investigação,2
OC0471,2024-01-17,Furto,Jardim das Flores,Sem solução,3
OC0472,2024-03-10,Agressão,Centro,Sem solução,4
OC0473,2024-03-08,Homicídio,São Jorge,Sem solução,1
OC0474,2024-02-07,Violência Doméstica,Centro,Em investigação,2
OC0475,2024-03-24,Tráfico de Drogas,Jardim das Flores,Encerrado,1
OC0476,2024-03-27,Roubo,São Jorge,Em investigação,3
OC0477,2024-01-19,Roubo,Vila Nova,Sem solução,1
OC0478,2024-03-07,Roubo,Centro,Encerrado,4
OC0479,2024-03-21,Roubo,Centro,Em investigação,4
OC0480,2024-02-19,Violência Doméstica,Alvorada,Em investigação,1
OC0481,2024-03-26,Homicídio,Parque Verde,Em investigação,5
OC0482,2024-02-05,Roubo,Parque Verde,Encerrado,4
OC0483,2024-03-26,Roubo,Jardim das Flores,Sem solução,1
OC0484,2024-02-08,Homicídio,Alvorada,Sem solução,4
OC0485,2024-02-03,Tráfico de Drogas,São Jorge,Em investigação,5
OC0486,2024-01-05,Roubo,São Jorge,Sem solução,5
OC0487,2024-02-12,Roubo,Jardim das Flores,Sem solução,4
OC0488,2024-02-16,Agressão,Centro,Sem solução,5
OC0489,2024-03-07,Agressão,Parque Verde,Encerrado,2
OC0490,2024-03-09,Furto,Jardim das Flores,Encerrado,1
OC0491,2024-02-27,Homicídio,Jardim das Flores,Sem solução,5
OC0492,2024-01-25,Roubo,Vila Nova,Sem solução,2
OC0493,2024-01-20,Agressão,Parque Verde,Em investigação,2
OC0494,2024-02-06,Tráfico de Drogas,Vila Nova,Encerrado,1
OC0495,2024-03-05,Violência Doméstica,Industrial,Em investigação,2
OC0496,2024-03-25,Tráfico de Drogas,Industrial,Em investigação,3
OC0497,2024-03-21,Furto,Jardim das Flores,Encerrado,4
OC0498,2024-03-13,Furto,Industrial,Encerrado,1
OC0499,2024-02-14,Roubo,Centro,Encerrado,4
OC0500,2024-01-12,Roubo,Industrial,Em investigação,3
